__v,_id,city_type,country_code,end_date,id,is_cost_effective,is_safe,is_soloable,is_time_efficient,is_walk,keyword,like,start_date,type_id_a,type_id_b,type_id_c,version
0,63e0d8c11f6fdcc634f9b7f8,null,BOL,2023-02-06T10:39:17.054Z,293db682-541c-479d-84f3-6e6b38545065,false,null,false,true,true,인생샷,false,2023-02-06T10:38:57.492Z,A,F,U,1.1.0_20230206
0,63e115f1333093ee71785459,null,MMR,2023-02-06T15:00:31.395Z,110bf08b-d8e4-46bc-b8e8-5b6e90ff549b,true,null,false,false,false,이색문화 탐방,false,2023-02-06T15:00:01.256Z,A,H,U,1.1.0_20230206
0,63e2314ddab580f65b1d90c5,null,ESP,2023-02-07T11:09:13.698Z,9ee6e041-02e7-4b24-a7c9-e1eca74800ac,false,null,false,false,false,신나는 밤문화,false,2023-02-07T11:09:01.186Z,R,F,D,1.1.0_20230206
0,63e23163dab580f65b1d90cb,null,ESP,2023-02-07T11:09:29.158Z,c4575432-a033-416d-91db-79edcb58f430,false,null,true,false,false,신나는 밤문화,false,2023-02-07T11:09:23.981Z,R,F,D,1.1.0_20230206
0,63e241a48c6342f21eb5ac75,null,null,null,3539294e-815e-4cf7-afbc-6be78fac1f63,null,null,null,null,null,null,false,2023-02-07T12:18:44.912Z,null,null,null,1.1.0_20230206
0,63e242868c6342f21eb5ac77,null,PRT,2023-02-07T12:23:15.871Z,4541eae8-4d49-47de-a662-e6b66982c49a,true,null,false,false,false,서핑,false,2023-02-07T12:22:30.094Z,R,F,D,1.1.0_20230206
0,63e242a88c6342f21eb5ac79,old,TWN,2023-02-07T12:24:11.959Z,f271a876-00c7-482f-9a0b-83aebb6ee320,false,false,null,false,null,왁자지껄한 야시장,false,2023-02-07T12:23:04.497Z,C,F,D,1.1.0_20230206
0,63e242c18c6342f21eb5ac7e,null,MYS,2023-02-07T12:24:18.810Z,f567b410-6362-4023-bcb7-82854852e7e3,true,null,true,false,true,수상레저,true,2023-02-07T12:23:29.985Z,R,F,D,1.1.0_20230206
0,63e242c58c6342f21eb5ac80,null,TUN,2023-02-07T12:24:00.463Z,d86f2ffd-d647-4c3c-849a-4a651007ac90,true,null,false,false,true,현지인과의 교류,false,2023-02-07T12:23:33.342Z,R,H,U,1.1.0_20230206
0,63e243db8c6342f21eb5ac90,old,IDN,2023-02-07T12:28:57.989Z,d871fabb-dc02-4623-af5a-71e7bde3706b,false,true,null,false,null,쇼핑,false,2023-02-07T12:28:11.942Z,C,F,U,1.1.0_20230206
0,63e244138c6342f21eb5ac95,null,ARG,2023-02-07T12:29:33.876Z,19746043-fcaf-49db-814a-6f2a4ff7c92b,false,null,false,false,true,현지인과의 교류,false,2023-02-07T12:29:07.232Z,A,F,D,1.1.0_20230206
0,63e244458c6342f21eb5ac9a,new,CZE,2023-02-07T12:30:16.913Z,27ef262b-9fc8-47f7-bb83-9876d486dc26,false,true,null,false,null,낭만적 분위기,true,2023-02-07T12:29:57.236Z,C,F,D,1.1.0_20230206
0,63e244f98c6342f21eb5aca1,old,CHN,2023-02-07T12:34:01.125Z,20cf9c65-011a-4371-b4f9-fceedee740ca,false,false,null,false,null,역사 탐방,false,2023-02-07T12:32:57.939Z,C,F,U,1.1.0_20230206
0,63e245868c6342f21eb5aca6,old,CHN,2023-02-07T12:36:05.814Z,34b62a67-60f4-48f4-b8bd-d12afa656430,false,true,null,false,null,역사 탐방,false,2023-02-07T12:35:18.228Z,C,F,U,1.1.0_20230206
0,63e245a48c6342f21eb5aca8,old,KAZ,2023-02-07T12:36:30.994Z,4ff6fc21-41b5-4bde-94c3-7cf4da1bdd18,true,true,null,false,null,독창적 건축양식,false,2023-02-07T12:35:48.784Z,C,H,U,1.1.0_20230206
0,63e245a78c6342f21eb5acaa,null,HND,2023-02-07T12:40:29.094Z,bd515b93-7491-46bf-aade-a347d505699b,true,null,false,true,false,수상레저,false,2023-02-07T12:35:51.045Z,R,H,U,1.1.0_20230206
0,63e245e98c6342f21eb5acb2,old,ARE,2023-02-07T12:37:28.929Z,e212da07-6b41-4112-9092-ebd7803cd852,false,true,null,false,null,색다른 건축물,false,2023-02-07T12:36:57.517Z,C,F,D,1.1.0_20230206
0,63e245f18c6342f21eb5acb4,null,GEO,2023-02-07T12:39:53.894Z,a2638d15-9298-4a84-b7bb-3f13db88a398,false,null,false,true,true,하이킹,false,2023-02-07T12:37:05.664Z,A,H,U,1.1.0_20230206
0,63e245f58c6342f21eb5acb6,null,null,null,68515a02-2226-4f39-8aa2-e6d0af312e01,null,null,null,null,null,null,false,2023-02-07T12:37:09.881Z,null,null,null,1.1.0_20230206
0,63e245f88c6342f21eb5acb8,new,CZE,2023-02-07T12:38:39.113Z,62f08fde-b551-47ee-8338-6f7a8be445be,false,true,null,false,null,낭만적 분위기,true,2023-02-07T12:37:12.972Z,C,F,D,1.1.0_20230206
0,63e246058c6342f21eb5acba,new,HUN,2023-02-07T12:38:38.604Z,2f01cbdc-d48c-4b7d-b680-d0481c1da831,true,true,null,true,null,눈부신 야경,false,2023-02-07T12:37:25.598Z,C,F,U,1.1.0_20230206
0,63e246278c6342f21eb5acbf,old,ARE,2023-02-07T12:38:24.315Z,a56ca47c-8d8a-4c3f-b7eb-ddde32c8429a,false,true,null,false,null,색다른 건축물,false,2023-02-07T12:37:59.039Z,C,F,D,1.1.0_20230206
0,63e246658c6342f21eb5acca,old,ARE,2023-02-07T12:39:19.164Z,0c3b8dfe-4952-4608-a9f2-3fade56a6435,false,true,null,false,null,색다른 건축물,false,2023-02-07T12:39:01.551Z,C,F,D,1.1.0_20230206
0,63e246738c6342f21eb5accd,null,CYP,2023-02-07T12:39:22.100Z,aab2422a-af53-40b7-9267-671631585e91,true,null,false,true,false,역사문화 탐방,false,2023-02-07T12:39:15.890Z,R,H,D,1.1.0_20230206
0,63e246988c6342f21eb5acd5,null,HND,2023-02-07T12:40:25.262Z,1f469b9e-3be9-4292-a610-965d20115185,false,null,true,false,false,수상레저,false,2023-02-07T12:39:52.284Z,R,H,U,1.1.0_20230206
0,63e246c38c6342f21eb5ace0,old,CHN,2023-02-07T12:41:44.923Z,95367a69-3c90-4678-9521-3d374e4d42ac,false,true,null,false,null,역사 탐방,false,2023-02-07T12:40:35.325Z,C,F,U,1.1.0_20230206
0,63e246cd8c6342f21eb5ace2,old,ARE,2023-02-07T12:41:11.194Z,da8327f0-2efe-4881-afa1-970f17ae698b,false,true,null,false,null,색다른 건축물,false,2023-02-07T12:40:45.359Z,C,F,D,1.1.0_20230206
0,63e246f08c6342f21eb5ace7,old,JPN,2023-02-07T12:41:29.653Z,886cf6b5-74e4-41f0-b2f0-c910f15a2d21,false,false,null,true,null,맛있는 현지 음식,false,2023-02-07T12:41:20.364Z,C,F,D,1.1.0_20230206
0,63e2470a8c6342f21eb5acee,new,PER,2023-02-07T12:46:59.046Z,27c70aca-d309-4898-b7bc-524bf441cf90,true,false,null,false,null,맛있는 현지 음식,false,2023-02-07T12:41:46.348Z,C,H,U,1.1.0_20230206
0,63e2471e8c6342f21eb5acf2,null,OMN,2023-02-07T12:42:17.011Z,1ce6ec7d-eb15-42db-ae55-17e8730bdcd2,false,null,false,false,false,메마른 사막과 오아시스,false,2023-02-07T12:42:06.717Z,A,H,D,1.1.0_20230206
0,63e247398c6342f21eb5acf8,null,GEO,2023-02-07T12:43:00.056Z,5a12e3b3-b38f-4b2d-a607-d922958c1251,false,null,false,true,true,하이킹,false,2023-02-07T12:42:33.555Z,A,H,U,1.1.0_20230206
0,63e247418c6342f21eb5acfa,null,ISL,2023-02-07T12:43:22.008Z,b8d7b367-beac-4232-97c9-3830c86523d2,false,null,false,false,false,반짝이는 오로라,false,2023-02-07T12:42:41.227Z,A,F,D,1.1.0_20230206
0,63e247518c6342f21eb5acfc,old,KAZ,2023-02-07T12:44:30.703Z,c841fdd5-6f35-4f7f-a114-dd21f4a3a929,true,false,null,true,null,독창적 건축양식,true,2023-02-07T12:42:57.328Z,C,H,U,1.1.0_20230206
0,63e247cf8c6342f21eb5ad08,null,null,null,2e2e6d43-63d8-449c-845f-3d2fbe728d0f,null,null,null,null,null,null,false,2023-02-07T12:45:03.947Z,null,null,null,1.1.0_20230206
